Model,AUC-ROC,auPRC,MCC,Sensitivity,Specificity,Precision,PPV,NPV,TN,FP,FN,TP
SIFT,0.6698029696295467,0.23376528528798185,0.1760066394038648,0.9419152276295133,0.2576631259484067,0.1969796454366382,0.1969796454366382,0.9582392776523702,849,2446,37,600
PolyPhen,0.7512838776224859,0.38642871230902703,0.2866990380089153,0.6624803767660911,0.7089529590288316,0.3055756698044895,0.3055756698044895,0.915719325754606,2336,959,215,422
ClinPred,0.7447531224465974,0.3914323830830966,0.17276712196977465,0.9246467817896389,0.27678300455235205,0.19818304172274562,0.19818304172274562,0.95,912,2383,48,589
REVEL,0.7333629518108166,0.4403505445240696,0.3469495564844745,0.5243328100470958,0.8561456752655539,0.41336633663366334,0.41336633663366334,0.9030089628681178,2821,474,303,334
AlphaMissense,0.7655040818708714,0.47372427764101577,0.39166656649942677,0.5918367346938775,0.849772382397572,0.4323394495412844,0.4323394495412844,0.9150326797385621,2800,495,260,377
BayesDel_addAF,0.7481241498583792,0.4425628088490414,0.15949485259591703,0.8618524332810047,0.33748103186646433,0.20095168374816985,0.20095168374816985,0.9266666666666666,1112,2183,88,549
BayesDel_noAF,0.7510968762432018,0.44220703990365867,0.21663633891773856,0.8021978021978022,0.4898330804248862,0.23312043795620438,0.23312043795620438,0.9275862068965517,1614,1681,126,511
DANN,0.6135169837749503,0.22088070024991305,0.13381738511631638,0.9387755102040817,0.2,0.18491032776747063,0.18491032776747063,0.9441260744985673,659,2636,39,598
DEOGEN2,0.7525862171645826,0.43740074089460934,0.31121497568447987,0.3249607535321821,0.935660091047041,0.49403341288782815,0.49403341288782815,0.8775974950185027,3083,212,430,207
ESM1b,0.7349342398334378,0.4851371384397071,0.29956394457378516,0.6248037676609105,0.7511380880121397,0.32676518883415434,0.32676518883415434,0.9119380987472365,2475,820,239,398
Eigen-PC,0.7226185910339389,0.33722393027224373,0.2660832072409685,0.42700156985871274,0.8561456752655539,0.3646112600536193,0.3646112600536193,0.8854362837413685,2821,474,365,272
Eigen,0.7315200949061778,0.3575384913865344,0.2770248258132748,0.434850863422292,0.8591805766312595,0.3738191632928475,0.3738191632928475,0.88718270134754,2831,464,360,277
GERP++_RS,0.6844862702872674,0.26987870235382166,0.20946204311952357,0.7488226059654631,0.5353566009104704,0.23754980079681276,0.23754980079681276,0.9168399168399168,1764,1531,160,477
MVP,0.7459249918266312,0.4123878565446357,0.06684528273111341,0.9733124018838305,0.07103825136612021,0.16847826086956522,0.16847826086956522,0.9322709163346613,234,3060,17,620
MetaLR,0.7370724874518503,0.40504877710223836,0.254920782329311,0.7770800627943485,0.5687405159332322,0.25835073068893527,0.25835073068893527,0.9295634920634921,1874,1421,142,495
MetaRNN,0.7588020477246578,0.45113862288158996,0.24426370005871495,0.8163265306122449,0.5141122913505312,0.24516737388024518,0.24516737388024518,0.9353948094975152,1694,1601,117,520
MetaSVM,0.7511290357160724,0.4217903487635709,0.2724172538498165,0.7472527472527473,0.6197268588770865,0.27530364372469635,0.27530364372469635,0.9269178393100318,2042,1253,161,476
MutFormer,0.7109606630092213,0.3400889179396932,0.0,1.0,0.0,0.16200406917599186,0.16200406917599186,0.0,0,3295,0,637
MutationAssessor,0.7211278208026528,0.36272123895070796,0.1960260079193457,0.13186813186813187,0.975113808801214,0.5060240963855421,0.5060240963855421,0.8531598513011153,3213,82,553,84
PROVEAN,0.6664097879142319,0.2727040226041011,0.12361457466164798,0.12872841444270017,0.9517450682852807,0.34024896265560167,0.34024896265560167,0.8496342454619344,3136,159,555,82
PrimateAI,0.6883208705450197,0.3178187436333546,0.042417074384215166,0.004709576138147566,0.9993930197268589,0.6,0.6,0.8385536032594856,3293,2,634,3
FATHMM-XF,0.7262900117441631,0.32595790378663997,0.2685530403309962,0.6357927786499215,0.7107738998482549,0.29823269513991163,0.29823269513991163,0.9098679098679099,2342,953,232,405
gMVP,0.7533639999714138,0.44631413625463334,0.3874149262833416,0.48665620094191525,0.9007587253414264,0.48665620094191525,0.48665620094191525,0.9007587253414264,2968,327,327,310
phastCons100way,0.6493192911575743,0.22702207796072776,0.16302720845709934,0.8571428571428571,0.3484066767830046,0.20274786483475676,0.20274786483475676,0.9265536723163842,1148,2147,91,546
phyloP100way_vertebrate,0.708378614665196,0.3037350281618004,0.23132049223355441,0.3390894819466248,0.8855842185128984,0.3642495784148398,0.3642495784148398,0.8739143456124588,2918,377,421,216
CADD,0.7519699394428667,0.3835159744965063,0.23447659586591582,0.8665620094191523,0.44451182534869615,0.23154362416107382,0.23154362416107382,0.9451966473243069,1466,1832,85,552
