Model,AUC-ROC,auPRC,MCC,Sensitivity,Specificity,Precision,PPV,NPV,TN,FP,FN,TP
SIFT,0.7956539191195269,0.6758427444777111,0.4648696550637205,0.9650582362728786,0.44609164420485176,0.5852674066599395,0.5852674066599395,0.9403409090909091,331,411,21,580
PolyPhen,0.8469704037733894,0.8353087198956844,0.5887465781734286,0.7009174311926606,0.8742937853107344,0.8110403397027601,0.8110403397027601,0.7915601023017903,619,89,163,382
EVE,0.933661453331504,0.938943457012877,0.56612595029602,0.5540540540540541,0.9695431472081218,0.9534883720930233,0.9534883720930233,0.6586206896551724,382,12,198,246
ClinPred,0.9645233201752956,0.9604383443699986,0.6577372607694276,0.9786535303776683,0.6622516556291391,0.700352526439483,0.700352526439483,0.9746588693957114,500,255,13,596
REVEL,0.9604827308809352,0.9612556125384129,0.8011008672423303,0.8297872340425532,0.9571865443425076,0.9387308533916849,0.9387308533916849,0.876750700280112,626,28,88,429
AlphaMissense,0.9445427500676121,0.937701179613227,0.7640864255081223,0.8747697974217311,0.8909090909090909,0.8589511754068716,0.8589511754068716,0.9035460992907801,637,78,68,475
BayesDel_addAF,0.9667436388985708,0.9671592335296326,0.7839262035054906,0.9342105263157895,0.8543046357615894,0.8377581120943953,0.8377581120943953,0.9416058394160584,645,110,40,568
BayesDel_noAF,0.9549559951202511,0.9557016785420457,0.7612607162720691,0.9259868421052632,0.8397350993377484,0.8230994152046783,0.8230994152046783,0.9337260677466863,634,121,45,563
DANN,0.796009062391077,0.699839514830167,0.4428649834401727,0.9819078947368421,0.3894039735099338,0.5642722117202268,0.5642722117202268,0.9639344262295082,294,461,11,597
DEOGEN2,0.9192467043314502,0.9164316389587185,0.7154751195544492,0.820952380952381,0.8912429378531074,0.8484251968503937,0.8484251968503937,0.8703448275862069,631,77,94,431
ESM1b,0.9223025118267463,0.9135335006520979,0.7122777083915061,0.8319039451114922,0.8789986091794159,0.8479020979020979,0.8479020979020979,0.8657534246575342,632,87,98,485
Eigen-PC,0.901237660704006,0.8860656429747913,0.6148925774082418,0.6129032258064516,0.9508426966292135,0.9022346368715084,0.9022346368715084,0.7684449489216799,677,35,204,323
Eigen,0.920058418438053,0.9107412329712686,0.6534388225939232,0.6375711574952562,0.9634831460674157,0.9281767955801105,0.9281767955801105,0.7822120866590649,686,26,191,336
GERP++_RS,0.7363149180899268,0.631863227824062,0.3719305279571759,0.8832236842105263,0.46225165562913906,0.5694591728525981,0.5694591728525981,0.830952380952381,349,406,71,537
LIST-S2,0.8422267206477733,0.8155094632532468,0.34462317092839423,0.9642105263157895,0.3092948717948718,0.515185601799775,0.515185601799775,0.919047619047619,193,431,17,458
MPC,0.7761298899554666,0.7738543953757876,0.27874621519966447,0.22273781902552203,0.9629629629629629,0.8495575221238938,0.8495575221238938,0.5688545688545689,442,17,335,96
MVP,0.9395685916457429,0.935949165509497,0.7145584496139616,0.9193245778611632,0.7997032640949555,0.784,0.784,0.9261168384879725,539,135,43,490
MetaLR,0.9134007929592192,0.915713220492835,0.6330145617211427,0.8552631578947368,0.7814569536423841,0.7591240875912408,0.7591240875912408,0.8702064896755162,590,165,88,520
MetaRNN,0.9732259457939044,0.9725223001676834,0.7922111539457657,0.9609929078014184,0.8356940509915014,0.8237082066869301,0.8237082066869301,0.9640522875816994,590,116,22,542
MetaSVM,0.9169745555942836,0.893737286489614,0.69459541223699,0.8634868421052632,0.8344370860927153,0.8076923076923077,0.8076923076923077,0.8835904628330996,630,125,83,525
MutFormer,0.8951281883155202,0.8815151760213207,0.5513900727581427,0.8894389438943895,0.6569536423841059,0.6754385964912281,0.6754385964912281,0.8809946714031972,496,259,67,539
MutationAssessor,0.9140906540644353,0.9102731130614541,0.5590671869114829,0.47232472324723246,0.9897660818713451,0.973384030418251,0.973384030418251,0.7030114226375909,677,7,286,256
PROVEAN,0.9179417601432703,0.8966346554601969,0.6699830392054292,0.9171597633136095,0.7561349693251533,0.7451923076923077,0.7451923076923077,0.9214953271028037,493,159,42,465
PrimateAI,0.804169317129242,0.726457332756623,0.4189929480497597,0.507563025210084,0.8764940239043825,0.7645569620253164,0.7645569620253164,0.6925498426023085,660,93,293,302
FATHMM-XF,0.8870888014948723,0.8524632059415445,0.533037026642833,0.9292543021032504,0.5909090909090909,0.627906976744186,0.627906976744186,0.9183222958057395,416,288,37,486
gMVP,0.9573619932477573,0.9556052125523142,0.7855189567231246,0.9088669950738916,0.8824593128390597,0.8502304147465438,0.8502304147465438,0.9295238095238095,488,65,37,369
phastCons100way,0.6941816317842591,0.5740547889762541,0.34387758139028907,0.9589490968801314,0.3134920634920635,0.5294650951949229,0.5294650951949229,0.9045801526717557,237,519,25,584
phyloP100way_vertebrate,0.8304022119703565,0.7901602057349507,0.5532534268169218,0.6059113300492611,0.9126984126984127,0.8482758620689655,0.8482758620689655,0.7419354838709677,690,66,240,369
CADD,0.892667104720676,0.8699209040977565,0.42111937838857455,0.9691558441558441,0.38492063492063494,0.5621468926553672,0.5621468926553672,0.9387096774193548,291,465,19,597
