Model,AUC-ROC,auPRC,MCC,Sensitivity,Specificity,Precision,PPV,NPV,TN,FP,FN,TP
SIFT,0.8555090688024165,0.7381635949883596,0.5441623355761189,0.9534053502712226,0.572212437339114,0.61950954991866,0.61950954991866,0.9438516118218895,16894,12630,1005,20564
PolyPhen,0.8692341987308653,0.8168630412785312,0.5925146596753108,0.7138523241464418,0.8681280323920556,0.7860823282939811,0.7860823282939811,0.8171573137074517,24871,3778,5565,13883
EVE,0.898379285638691,0.9319591007365428,0.4550141736923343,0.4765610637906734,0.960656078064985,0.9535311427170181,0.9535311427170181,0.5200044953922229,9254,379,8542,7777
ClinPred,0.9863250209963204,0.9795504368700372,0.8797620550156344,0.9634760123747518,0.9231797373609115,0.9007554500323764,0.9007554500323764,0.9721665083218973,27628,2299,791,20866
REVEL,0.9633567924371917,0.9566650364072845,0.7755231196796873,0.7725931885223921,0.9728072620137755,0.9547322375397667,0.9547322375397667,0.852130850247611,24434,683,4240,14405
AlphaMissense,0.9560655868384302,0.9459633302268248,0.7841613333214739,0.8302325581395349,0.941878339799429,0.9118267629094947,0.9118267629094947,0.8845730785095559,25734,1588,3358,16422
BayesDel_addAF,0.985112297686437,0.9789136219893534,0.8755759027170543,0.9236024558002124,0.9509192219145174,0.9315145025373621,0.9315145025373621,0.9451168960371414,28500,1471,1655,20008
BayesDel_noAF,0.9639392399589188,0.9542080286223188,0.8054257839147597,0.9081844619858745,0.9016048847218978,0.8696459355523141,0.8696459355523141,0.931439798697046,27022,2949,1989,19674
DANN,0.8069622660514238,0.6869107562961895,0.46946121117534,0.9607291185971389,0.47096258288075166,0.5673215794206611,0.5673215794206611,0.9432136660883491,14135,15878,851,20819
DEOGEN2,0.9349118243389899,0.9260723598279154,0.7135716836487671,0.7641734885849393,0.9310012341869793,0.8936258770365085,0.8936258770365085,0.8388296208777843,24139,1789,4638,15029
ESM1b,0.9171820966867944,0.9037313939715117,0.6263511952880007,0.9225104522995059,0.704840613931523,0.7018108215563668,0.7018108215563668,0.9235420963810238,19701,8250,1631,19417
Eigen-PC,0.9062759807553529,0.867906082637831,0.5532321920153278,0.5152635965826213,0.9606753579824749,0.8995907230559345,0.8995907230559345,0.743487250172295,26970,1104,9305,9891
Eigen,0.9184557356697418,0.8868086392942904,0.5819949717563958,0.5369347780787664,0.9673363254256607,0.9183000712758375,0.9183000712758375,0.7533984353326305,27157,917,8889,10307
GERP++_RS,0.7679033172445994,0.638660341295326,0.43431167564925516,0.8395272609759475,0.5936708016539949,0.5987816924596642,0.5987816924596642,0.8366464589501387,17803,12185,3476,18185
LIST-S2,0.8702174190841614,0.8217912480762015,0.48664252764887234,0.9456205894562059,0.5160646831628539,0.5830773731168641,0.5830773731168641,0.9298715203426124,12159,11402,917,15946
MPC,0.8372846745445921,0.807477716738948,0.3260222521080908,0.2058175995730202,0.9879720707405331,0.9289370671484493,0.9289370671484493,0.6195468055866279,19385,236,11904,3085
MVP,0.9234661622957153,0.922819684801977,0.6796972580846476,0.8871723569699779,0.7901517035563292,0.8032825103744113,0.8032825103744113,0.8787962604414449,15886,4219,2191,17228
MetaLR,0.934751678890198,0.9151280622410736,0.6968401069214094,0.8010727827614909,0.8905716008845407,0.8413793103448276,0.8413793103448276,0.8606955508062949,26580,3266,4302,17324
MetaRNN,0.990146618494236,0.9863232370451793,0.8998708627529154,0.9451534339990258,0.9553661343691555,0.9398885928796319,0.9398885928796319,0.9593340315648814,26563,1241,1126,19404
MetaSVM,0.9286247992321929,0.9136335063092301,0.7270930259067714,0.8076389531119949,0.9111438718756282,0.8681777512675216,0.8681777512675216,0.8673215538687249,27194,2652,4160,17466
MutFormer,0.9332734467081162,0.902847758077048,0.7101478079266788,0.8758051809629732,0.8412693082605776,0.7999238127486668,0.7999238127486668,0.9033642231276818,25053,4727,2680,18899
MutationAssessor,0.8894915340503189,0.8775808553826238,0.4988602686764915,0.41081274249540534,0.9837490398997453,0.9524204047816309,0.9524204047816309,0.678308618575092,24335,402,11541,8047
PROVEAN,0.9028859624053066,0.8670121470217107,0.6607216034107294,0.8760504201680672,0.791243603281618,0.7598467504555436,0.7598467504555436,0.8943671670568792,19482,5140,2301,16263
PrimateAI,0.8745888420285736,0.8161240126564874,0.4768162228092856,0.4498368298368298,0.9493778184653986,0.8660025130138216,0.8660025130138216,0.703499912062511,28000,1493,11801,9649
FATHMM-XF,0.9099675060240702,0.8658436363853758,0.6271219113712543,0.9154538791749555,0.7210337401292175,0.6923076923076923,0.6923076923076923,0.9255863244712712,20088,7772,1615,17487
gMVP,0.9564859645994043,0.9434523701258014,0.7884830313984398,0.8692745565263437,0.9181320137845719,0.8763512611770986,0.8763512611770986,0.9132097029354895,20781,1853,1975,13133
phastCons100way,0.7733932576562883,0.6238732338296196,0.45752070538210793,0.9485609026018881,0.47564574422228856,0.5656926288036911,0.5656926288036911,0.9277583753718794,14345,15814,1117,20598
phyloP100way_vertebrate,0.8562148199163361,0.7952044539117686,0.5211623916339821,0.5373244301174304,0.9294406313206671,0.8457523919976805,0.8457523919976805,0.7361468564525447,28031,2128,10047,11668
CADD,0.9131116386460089,0.8665032697848798,0.5722014549823266,0.9624735242655862,0.594796155120981,0.6309768171939145,0.6309768171939145,0.9565565031982942,17945,12225,815,20903
