Model,AUROC,AUPRC,MCC,Sensitivity,Specificity,Precision,PPV,NPV,TN,FP,FN,TP
SIFT,0.8796657887566979,0.5270851252308003,0.4102508969494416,0.978021978021978,0.5289256198347108,0.3423076923076923,0.3423076923076923,0.9896907216494846,192,171,2,89
PolyPhen,0.7912844731026549,0.5322093050385805,0.3845731131495953,0.46153846153846156,0.9008264462809917,0.5384615384615384,0.5384615384615384,0.8696808510638298,327,36,49,42
EVE,0.9073170731707317,0.7426036440426833,0.6508057753578952,0.7560975609756098,0.9176470588235294,0.6888888888888889,0.6888888888888889,0.9397590361445783,156,14,10,31
ClinPred,0.9793842521115248,0.928679147050459,0.766096092609445,0.978021978021978,0.8870523415977961,0.6846153846153846,0.6846153846153846,0.9938271604938271,322,41,2,89
REVEL,0.9111645929827747,0.8150633920469318,0.7090276582565505,0.8241758241758241,0.9201101928374655,0.7211538461538461,0.7211538461538461,0.9542857142857143,334,29,16,75
AlphaMissense,0.9462809917355373,0.8838923271339131,0.7922069597002205,0.8241758241758241,0.9614325068870524,0.8426966292134831,0.8426966292134831,0.9561643835616438,349,14,16,75
BayesDel_addAF,0.9648836012472376,0.891253581069889,0.6100484451531925,0.967032967032967,0.7713498622589532,0.5146198830409356,0.5146198830409356,0.9893992932862191,280,83,3,88
BayesDel_noAF,0.9281627463445644,0.813813797002171,0.46336124323029554,0.9120879120879121,0.6639118457300276,0.40487804878048783,0.40487804878048783,0.9678714859437751,241,122,8,83
DANN,0.8144582690037235,0.4549310903999226,0.35149917318867824,0.945054945054945,0.48484848484848486,0.315018315018315,0.315018315018315,0.9723756906077348,176,187,5,86
DEOGEN2,0.7743609981179042,0.46867658531007916,0.31464034448165296,0.27472527472527475,0.9530386740331491,0.5952380952380952,0.5952380952380952,0.8394160583941606,345,17,66,25
ESM1b,0.9089460263493413,0.8530901089083518,0.7393156264718473,0.7032967032967034,0.9751381215469613,0.8767123287671232,0.8767123287671232,0.9289473684210526,353,9,27,64
Eigen-PC,0.9330063875518422,0.7661283939774005,0.5470551500541013,0.5164835164835165,0.9559228650137741,0.746031746031746,0.746031746031746,0.887468030690537,347,16,44,47
Eigen,0.932249568613205,0.7815277466334001,0.5519494078778707,0.5054945054945055,0.9614325068870524,0.7666666666666667,0.7666666666666667,0.8857868020304569,349,14,45,46
GERP++_RS,0.9061393152302243,0.6750106615084734,0.5909744800978578,0.9010989010989011,0.7988980716253443,0.5290322580645161,0.5290322580645161,0.9698996655518395,290,73,9,82
LIST-S2,0.8843078460769616,0.6057200814436343,0.19308181557431828,0.9782608695652174,0.19540229885057472,0.24324324324324326,0.24324324324324326,0.9714285714285714,34,140,1,45
MPC,0.8083791208791209,0.49850787905382987,0.0,0.0,1.0,0.0,0.0,0.7945823927765236,352,0,91,0
MVP,0.9232626528401177,0.7938755194283654,0.3239770492294792,0.978021978021978,0.3971830985915493,0.29372937293729373,0.29372937293729373,0.986013986013986,141,214,2,89
MetaLR,0.8835255653437472,0.6852322836210136,0.46750473696743955,0.8791208791208791,0.696969696969697,0.42105263157894735,0.42105263157894735,0.9583333333333334,253,110,11,80
MetaRNN,0.9766899766899767,0.923688162260196,0.7303563630708698,0.9230769230769231,0.8898071625344353,0.6774193548387096,0.6774193548387096,0.9787878787878788,323,40,7,84
MetaSVM,0.9095298640753187,0.7515758957187247,0.5878871635970636,0.8571428571428571,0.8236914600550964,0.5492957746478874,0.5492957746478874,0.9583333333333334,299,64,13,78
MutFormer,0.8697665970393244,0.5804657771470949,0.03330528574503196,1.0,0.005509641873278237,0.2013274336283186,0.2013274336283186,1.0,2,361,0,91
MutationAssessor,0.8302043422733079,0.617640998469611,0.3798295386053657,0.27586206896551724,0.975,0.7272727272727273,0.7272727272727273,0.8478260869565217,351,9,63,24
PROVEAN,0.5465746374837285,0.20186110181654382,-0.1640601187328875,0.08791208791208792,0.7410468319559229,0.0784313725490196,0.0784313725490196,0.7642045454545454,269,94,83,8
PrimateAI,0.9045499954590865,0.7810729721343519,0.0938390311792017,0.01098901098901099,1.0,1.0,1.0,0.8013245033112583,363,0,90,1
FATHMM-XF,0.9488995852632217,0.835541295741636,0.6951772466414616,0.8571428571428571,0.8980716253443526,0.6782608695652174,0.6782608695652174,0.9616519174041298,326,37,13,78
gMVP,0.9421516754850088,0.8881972101071577,0.798666546706928,0.7333333333333333,0.9894179894179894,0.9428571428571428,0.9428571428571428,0.9396984924623115,187,2,12,33
phastCons100way,0.903868858414313,0.6060172905710943,0.5927953858492933,0.9560439560439561,0.7630853994490359,0.5028901734104047,0.5028901734104047,0.9857651245551602,277,86,4,87
phyloP100way_vertebrate,0.9303272485090667,0.7445839389612867,0.4205229491567727,0.27472527472527475,0.9862258953168044,0.8333333333333334,0.8333333333333334,0.8443396226415094,358,5,66,25
CADD,0.9420730784367148,0.7821355696028862,0.6116435810324287,0.945054945054945,0.7878787878787878,0.5276073619631901,0.5276073619631901,0.9828178694158075,286,77,5,86
