Model,AUROC,AUPRC,MCC,Sensitivity,Specificity,Precision,PPV,NPV,TN,FP,FN,TP
SIFT,0.6005215742057848,0.8801821008951758,0.28915380978847377,0.954954954954955,0.2631578947368421,0.8833333333333333,0.8833333333333333,0.5,5,14,5,106
PolyPhen,0.7647880763856545,0.940840610439862,0.3557878863943739,0.8407079646017699,0.5789473684210527,0.9223300970873787,0.9223300970873787,0.3793103448275862,11,8,18,95
EVE,0.8150078165711309,0.9463689836637156,0.39749123827067295,0.801980198019802,0.6842105263157895,0.9310344827586207,0.9310344827586207,0.3939393939393939,13,6,20,81
ClinPred,0.9945382323733863,0.998981632354606,0.8575625035173688,0.9622641509433962,0.9473684210526315,0.9902912621359223,0.9902912621359223,0.8181818181818182,18,1,4,102
REVEL,0.8733862959285005,0.9709732154648187,0.6381579827897177,0.9622641509433962,0.631578947368421,0.9357798165137615,0.9357798165137615,0.75,12,7,4,102
AlphaMissense,0.9414101290963257,0.9876295236454072,0.7633703398876422,0.9528301886792453,0.8421052631578947,0.9711538461538461,0.9711538461538461,0.7619047619047619,16,3,5,101
BayesDel_addAF,0.9692982456140351,0.9938853311317639,0.7341797897670292,1.0,0.5789473684210527,0.9310344827586207,0.9310344827586207,1.0,11,8,0,108
BayesDel_noAF,0.838206627680312,0.9613305706734898,0.0,1.0,0.0,0.8503937007874016,0.8503937007874016,0.0,0,19,0,108
DANN,0.6023391812865497,0.8764887062474706,0.17715310663083794,0.9814814814814815,0.10526315789473684,0.8617886178861789,0.8617886178861789,0.5,2,17,2,106
DEOGEN2,0.8768619662363456,0.9734415285864284,0.4607948120438598,0.9433962264150944,0.47368421052631576,0.9090909090909091,0.9090909090909091,0.6,9,10,6,100
ESM1b,0.8887785501489572,0.9780511931706806,0.46646590676447297,0.8301886792452831,0.7368421052631579,0.946236559139785,0.946236559139785,0.4375,14,5,18,88
Eigen-PC,0.7646198830409356,0.9417407131328008,0.2418264565420747,0.6481481481481481,0.6842105263157895,0.9210526315789473,0.9210526315789473,0.2549019607843137,13,6,38,70
Eigen,0.7909356725146199,0.9514133767219003,0.20550681815930374,0.6018518518518519,0.6842105263157895,0.9154929577464789,0.9154929577464789,0.23214285714285715,13,6,43,65
GERP++_RS,0.6172027290448343,0.8677177011060876,0.31733139113174724,0.9444444444444444,0.3157894736842105,0.8869565217391304,0.8869565217391304,0.5,6,13,6,102
LIST-S2,0.6328202581926514,0.9068585783090236,0.3011886308552165,1.0,0.10526315789473684,0.8617886178861789,0.8617886178861789,1.0,2,17,0,106
MPC,0.8021350546176762,0.953923637499846,0.0,0.0,1.0,0.0,0.0,0.152,19,0,106,0
MVP,0.5868479467258602,0.8686143439262735,0.0,1.0,0.0,0.8617886178861789,0.8617886178861789,0.0,0,17,0,106
MetaLR,0.7991559086395233,0.9519302325692702,0.42612995199276643,0.9905660377358491,0.2631578947368421,0.8823529411764706,0.8823529411764706,0.8333333333333334,5,14,1,105
MetaRNN,0.9955312810327707,0.9991751546185982,0.9379344587884806,0.9905660377358491,0.9473684210526315,0.9905660377358491,0.9905660377358491,0.9473684210526315,18,1,1,105
MetaSVM,0.8247269116186693,0.9508955600610078,0.3218907269456122,0.9811320754716981,0.21052631578947367,0.8739495798319328,0.8739495798319328,0.6666666666666666,4,15,2,104
MutFormer,0.6812313803376366,0.9036246528950793,0.0,1.0,0.0,0.848,0.848,0.0,0,19,0,106
MutationAssessor,0.8629592850049652,0.9735562906150054,0.2640198836295895,0.330188679245283,1.0,1.0,1.0,0.2111111111111111,19,0,71,35
PROVEAN,0.8547666335650447,0.9561276880095868,0.4844115257166154,0.7830188679245284,0.8421052631578947,0.9651162790697675,0.9651162790697675,0.41025641025641024,16,3,23,83
PrimateAI,0.7830188679245282,0.948189154805654,0.19566655375014202,0.20754716981132076,1.0,1.0,1.0,0.18446601941747573,19,0,84,22
FATHMM-XF,0.7056530214424951,0.9226767355930302,0.22828583482455714,0.9537037037037037,0.21052631578947367,0.8728813559322034,0.8728813559322034,0.4444444444444444,4,15,5,103
gMVP,0.8728897715988084,0.9721279490161456,0.3028438609742144,0.9905660377358491,0.15789473684210525,0.8677685950413223,0.8677685950413223,0.75,3,16,1,105
phastCons100way,0.5928362573099416,0.8758853370538768,0.028601998701529623,0.9629629629629629,0.05263157894736842,0.8524590163934426,0.8524590163934426,0.2,1,18,4,104
phyloP100way_vertebrate,0.7037037037037037,0.9261314894096468,0.11368386041889941,0.5277777777777778,0.631578947368421,0.890625,0.890625,0.19047619047619047,12,7,51,57
CADD,0.7144853283651608,0.9211072638684338,0.3052101523131044,0.9911504424778761,0.15789473684210525,0.875,0.875,0.75,3,16,1,112
