Model,AUROC,AUPRC,MCC,Sensitivity,Specificity,Precision,PPV,NPV,TN,FP,FN,TP
SIFT,0.8268257675934144,0.7576153184781425,0.5081384170557504,0.9603792753132407,0.48730104977988487,0.6519540229885058,0.6519540229885058,0.9248071979434447,1439,1514,117,2836
PolyPhen,0.8791414861730952,0.8655966919432078,0.6048972728616518,0.7561801557737894,0.8462580426684727,0.8310383327130629,0.8310383327130629,0.7763280521901211,2499,454,720,2233
EVE,0.898001756609274,0.8998015906897853,0.5186987442317522,0.48696241110734845,0.9678293261090416,0.9380300065231572,0.9380300065231572,0.6535559112737251,2858,95,1515,1438
ClinPred,0.9744363351841682,0.9723904229250361,0.8019525347774575,0.9718929901794785,0.8208601422282424,0.8443659899970579,0.8443659899970579,0.9668927004387714,2424,529,83,2870
REVEL,0.951280926867693,0.951692695668737,0.7510181727571296,0.7903826616999662,0.9508973924822215,0.9415086728519564,0.9415086728519564,0.819375547125766,2808,145,619,2334
AlphaMissense,0.9470019583246228,0.9481879134482181,0.7556813098546477,0.8452421266508635,0.9089061970877074,0.9027124773960217,0.9027124773960217,0.8545049347341611,2684,269,457,2496
BayesDel_addAF,0.9762199506915487,0.9756815833054521,0.8302845819680911,0.9424314256688113,0.8865560447003048,0.8925593329057088,0.8925593329057088,0.9390243902439024,2618,335,170,2783
BayesDel_noAF,0.9508043901241358,0.9521107370117241,0.7448067598204375,0.9288858787673552,0.8107009820521504,0.8307086614173228,0.8307086614173228,0.9193548387096774,2394,559,210,2743
DANN,0.7712073758782616,0.720237266982739,0.4094873233829419,0.9701997968167965,0.351506942092787,0.5993723849372385,0.5993723849372385,0.9218472468916519,1038,1915,88,2865
DEOGEN2,0.9180244991834485,0.9246622040377117,0.6696395041838729,0.7968167964781578,0.8709786657636303,0.8606437454279444,0.8606437454279444,0.8108448928121059,2572,381,600,2353
ESM1b,0.8928466049380238,0.8933714774522076,0.569511765768771,0.927869962749746,0.6125973586183542,0.7054582904222451,0.7054582904222451,0.8946587537091988,1809,1144,213,2740
Eigen-PC,0.8736014813406422,0.8616677300782829,0.4836224381502309,0.5011852353538774,0.9346427362004741,0.8846383741781231,0.8846383741781231,0.6520198440822113,2760,193,1473,1480
Eigen,0.8941321819236213,0.8866531568609167,0.5358989795896257,0.5408059600406366,0.9485269217744666,0.9130931961120641,0.9130931961120641,0.6738032234784701,2801,152,1356,1597
GERP++_RS,0.6995494030016941,0.6401889722777211,0.338709887421353,0.8347443278022351,0.4822214696918388,0.6171757636454682,0.6171757636454682,0.7447698744769874,1424,1529,488,2465
LIST-S2,0.8165095584291616,0.8117872808020541,0.3787739346710576,0.9475110057568574,0.3586183542160515,0.5963341858482524,0.5963341858482524,0.872322899505766,1059,1894,155,2798
MPC,0.7818890005962014,0.7960977998912305,0.3047265339444806,0.20589231290213342,0.9850998984083983,0.9325153374233128,0.9325153374233128,0.5536733917015607,2909,44,2345,608
MVP,0.9132704273487025,0.9101755988035223,0.6300100977822259,0.9139857771757535,0.7016593294954284,0.7539106145251396,0.7539106145251396,0.8907996560619088,2072,881,254,2699
MetaLR,0.8947418576779524,0.899401638102867,0.6104565819057102,0.818828310193024,0.7913985777175754,0.7969676994067239,0.7969676994067239,0.8137186629526463,2337,616,535,2418
MetaRNN,0.9840515290401871,0.983990756164359,0.8625011604486822,0.9644429393836776,0.896037927531324,0.9026941362916007,0.9026941362916007,0.9618320610687023,2646,307,105,2848
MetaSVM,0.9072140931484555,0.903888603708396,0.6650866960747046,0.8320352184219438,0.833051134439553,0.8328813559322034,0.8328813559322034,0.8322056833558863,2460,493,496,2457
MutFormer,0.8906301443004403,0.8851371742609637,0.5919482964466777,0.8967152048763969,0.6813410091432441,0.737809974923377,0.737809974923377,0.8683642641346568,2012,941,305,2648
MutationAssessor,0.8780721310693357,0.884547536789842,0.46453358164278497,0.40162546562817475,0.9779884862851338,0.9480415667466027,0.9480415667466027,0.6204081632653061,2888,65,1767,1186
PROVEAN,0.8849514960019881,0.875384549087993,0.6301375373050087,0.8936674568235693,0.7277345072807314,0.7664827185593959,0.7664827185593959,0.8725131952902964,2149,804,314,2639
PrimateAI,0.8183572205666172,0.7948447301294062,0.38741413537152314,0.40975279376904844,0.9227903826617,0.8414464534075105,0.8414464534075105,0.609892569382274,2725,228,1743,1210
FATHMM-XF,0.8675940565185996,0.8548918075857833,0.56086600469846,0.9265154080596004,0.6044700304774805,0.7008196721311475,0.7008196721311475,0.8916083916083916,1785,1168,217,2736
gMVP,0.952504693408151,0.9528627453735479,0.7722205592930821,0.8950220115137149,0.8770741618692854,0.8792415169660679,0.8792415169660679,0.8931034482758621,2590,363,310,2643
phastCons100way,0.7133139240126012,0.641454258799665,0.39493720676087596,0.9542837792075856,0.3647138503217067,0.6003408606731998,0.6003408606731998,0.8886138613861386,1077,1876,135,2818
phyloP100way_vertebrate,0.8046432717380971,0.7735551660453961,0.4089264425803574,0.499153403318659,0.879105993904504,0.8050245767340252,0.8050245767340252,0.6370552147239263,2596,357,1479,1474
CADD,0.8836185004281434,0.8669224765865472,0.4875462233043721,0.9644429393836776,0.4551303758889265,0.6389948395781916,0.6389948395781916,0.927536231884058,1344,1609,105,2848
